text,true,pred,prob
시 되다 중앙 지업 이다 통화 가능 저 바쁘다 통화 가능 전화 번호 남기다 주다 저 가하다 때 전화,1,0,0.041643296309300144
신용 돈 불리다 정상 이다 아니다 하다 식사 거 이다 담당 직원 남자 이다 여자 이다 확인 자다 성함 말씀 주다 담당 직원 서남 지역 헤드 슈터 저 말씀 가능 얼마 가능 만 원 가능 천만 원 받다 나다 마시다 눈치 채다 하다 어떻다 하다 되다 말씀 되다 알다 진행 때 되다 하다 당황 말다 편하다 일 하다 되다 않다 불량품 치다 되다 빠져나가다 돈 갖다 있다 되다 거 맞다,1,0,0.041643296309300144
시안 어떻다 열 가다 별 기 달다 말씀 하다 거 가다 제거 저번 르 달다 하다 확인 이다 가다 때 시간 맞다 수 을 주다 맛 쉽다 마시다 시간 이다 때 바꾸다 가다 가다 불 머리 이다 시 그렇다 기다랗다 그다 걷다 내다 번,1,0,0.041643296309300144
택배 사 연락 드리다 배송 주소 확인 차 전화 드리다 주소 되다 시스템 오류 주소 되다 있다 확인 주다 감사,1,0,0.041643296309300144
안녕 핸드폰 맞다 수고 이다 연락 드리다 인수 이다 알다 분 계시다 하다 앞 있다 그중 하다 통장 대하다 길 위 찍다 거 이다 도민 사용 내다 기다리다 보다 거 아니다 봄 이다 언제 공장 실수 드리다 거 이다,1,0,0.041643296309300144
큰일 나다 큰일 나다 얼마 전 나 친구 보증 쓰다 주다 친구 연락 나 착하다 오다 주다 되다 돈 보내다 주다 되다 당장 돈 갚다 주다 괜찮다 정도 보내다 주다 수 있다 계좌 번호 하나 보내다 괜찮다 않다 수 있다 데 뭐 이다 옆 사지 아저씨 있다 계좌 보내다 뭐 보내다 계좌 보내다 주다 돈 부치다 주다 터 이다 딸 풀다 주다 어떻다 하다 원하다 것 뭐 이다 나 전화 하다 목적 뭐 이다 원 것 뭐 이다,1,0,0.041643296309300144
안녕 택배 사이 이다 배송 중 이다 상품 반송 하다 반송 거 이다 주소 기재 있다 하다 재발 송 위하다 정보 받다 하다,1,0,0.041643296309300144
아빠 나 이다 폰 고장 나다 임시 번호 연락 거 이다 이다 일 있다 친구 사고 나다 병원비 내다 하다 그렇다 너 괜찮다 보내다 계좌 보내다 주다 되다 것 같다 고맙다 아빠,1,0,0.041643296309300144
가다 울다 침대 그렇다 여기 때 놓다 팀장 방문 그랜하 거 아니다 그거 이다 거 이렇다 안 김밖퀴 하다 그렇다 저하 그렇다 비껏 나다 아트 저렇다 키프을 하다 쓰다 들다 거 아니다 돈 하다 벌다 줄 일다,1,0,0.041643296309300144
택배 배송 관련 연락 드리다 일 이다 주소지 있다 확인 부탁 드리다 어떻다 하다 하다,1,0,0.041643296309300144
